title,journal,source_x,publish_time,year,abstract_word_count
The influence of locked nucleic acid residues on the thermodynamic properties of 2′-O-methyl RNA/RNA heteroduplexes,Nucleic Acids Res,PMC,2005-09-09,2005.0,173
Draft versus finished sequence data for DNA and protein diagnostic signature development,Nucleic Acids Res,PMC,2005-10-20,2005.0,195
An ontology for immune epitopes: application to the design of a broad scope database of immune reactivities,Immunome Res,PMC,2005-09-20,2005.0,217
Evaluation of potential reference genes in real-time RT-PCR studies of Atlantic salmon,BMC Mol Biol,PMC,2005-11-17,2005.0,211
Relevance of human metapneumovirus in exacerbations of COPD,Respir Res,PMC,2005-12-21,2005.0,168
Bioethical Implications of Globalization: An International Consortium Project of the European Commission,PLoS Med,PMC,2006-01-24,2006.0,14
Public awareness of risk factors for cancer among the Japanese general population: A population-based survey,BMC Public Health,PMC,2006-01-10,2006.0,229
Sequence specific visual detection of LAMP reactions by addition of cationic polymers,BMC Biotechnol,PMC,2006-01-10,2006.0,212
"Injection drug use and HIV/AIDS in China: Review of current situation, prevention and policy implications",Harm Reduct J,PMC,2006-02-01,2006.0,266
Development of a humanized monoclonal antibody with therapeutic potential against West Nile virus,Nat Med,PMC,2005-04-24,2005.0,170
Local public health workers' perceptions toward responding to an influenza pandemic,BMC Public Health,PMC,2006-04-18,2006.0,210
On pandemics and the duty to care: whose duty? who cares?,BMC Med Ethics,PMC,2006-04-20,2006.0,360
Epicatechins Purified from Green Tea (Camellia sinensis) Differentially Suppress Growth of Gender-Dependent Human Cancer Cell Lines,Evid Based Complement Alternat Med,PMC,2006-04-25,2006.0,201
Markers of exacerbation severity in chronic obstructive pulmonary disease,Respir Res,PMC,2006-05-10,2006.0,342
Scientific Abstracts,J Gen Intern Med,PMC,2006-04-03,2006.0,0
"Society of General Internal Medicine: 28th Annual Meeting New Orleans, LA May 11–14, 2005: Out of Chaos: The Critical Role of Generalists, ABSTRACTS OF SUBMISSIONS ACCEPTED FOR PRESENTATIOIN",J Gen Intern Med,PMC,2005-04-03,2005.0,0
CLINICAL VIGNETTES,J Gen Intern Med,PMC,2004-04-03,2004.0,0
CLINICAL VIGNETTES,J Gen Intern Med,PMC,2003-04-03,2003.0,0
ABSTRACTS,J Gen Intern Med,PMC,2002-04-03,2002.0,0
Clinical Vignettes,J Gen Intern Med,PMC,2001-04-03,2001.0,0
Differentially profiling the low-expression transcriptomes of human hepatoma using a novel SSH/microarray approach,BMC Genomics,PMC,2006-05-31,2006.0,346
"From Functional Genomics to Functional Immunomics: New Challenges, Old Problems, Big Rewards",PLoS Comput Biol,PMC,2006-07-28,2006.0,176
Transmission patterns of smallpox: systematic review of natural outbreaks in Europe and North America since World War II,BMC Public Health,PMC,2006-05-05,2006.0,253
Reliability of case definitions for public health surveillance assessed by Round-Robin test methodology,BMC Public Health,PMC,2006-05-10,2006.0,285
Ventilator associated pneumonia and infection control,Ann Clin Microbiol Antimicrob,PMC,2006-04-06,2006.0,120
"Sentinel surveillance for human enterovirus 71 in Sarawak, Malaysia: lessons from the first 7 years",BMC Public Health,PMC,2006-07-07,2006.0,232
"26th International Symposium on Intensive Care and Emergency Medicine, 21–24 March 2006, Brussels, Belgium",Crit Care,PMC,2006-05-18,2006.0,0
Model-Based Design of Growth-Attenuated Viruses,PLoS Comput Biol,PMC,2006-09-01,2006.0,224
Delivery Systems for the Direct Application of siRNAs to Induce RNA Interference (RNAi) In Vivo,J Biomed Biotechnol,PMC,2006-05-18,2006.0,147
Electrochemical Molecular Analysis Without Nucleic Acid Amplification,Methods,PMC,2005-09-01,2005.0,164
Identification of new participants in the rainbow trout (Oncorhynchus mykiss) oocyte maturation and ovulation processes using cDNA microarrays,Reprod Biol Endocrinol,PMC,2006-07-27,2006.0,352
An object simulation model for modeling hypothetical disease epidemics – EpiFlex,Theor Biol Med Model,PMC,2006-08-23,2006.0,334
Multiplexed Genetic Analysis Using an Expanded Genetic Alphabet,Clinical Chemistry,PMC,2004-11-01,2004.0,226
Antisense-induced ribosomal frameshifting,Nucleic Acids Res,PMC,2006-08-18,2006.0,171
The gene of an archaeal α-l-fucosidase is expressed by translational frameshifting,Nucleic Acids Res,PMC,2006-08-18,2006.0,150
Role of RNA helicases in HIV-1 replication,Nucleic Acids Res,PMC,2006-08-25,2006.0,129
MIMOX: a web tool for phage display based epitope mapping,BMC Bioinformatics,PMC,2006-10-12,2006.0,308
Endogenous Cell Repair of Chronic Demyelination,Journal of Neuropathology and Experimental Neurology,PMC,2006-03-01,2006.0,200
Automated identification of multiple micro-organisms from resequencing DNA microarrays,Nucleic Acids Res,PMC,2006-09-29,2006.0,180
Molecular dynamics simulations of human [Formula: see text]: the role of modified bases in mRNA recognition,Nucleic Acids Res,PMC,2006-09-29,2006.0,169
A novel endonuclease IV post-PCR genotyping system,Nucleic Acids Res,PMC,2006-09-29,2006.0,153
Pandemic influenza preparedness: an ethical framework to guide decision-making,BMC Med Ethics,PMC,2006-12-04,2006.0,234
Open lung biopsy in early-stage acute respiratory distress syndrome,Crit Care,PMC,2006-07-19,2006.0,288
Association and Host Selectivity in Multi-Host Pathogens,PLoS One,PMC,2006-12-20,2006.0,201
The Effectiveness of Contact Tracing in Emerging Epidemics,PLoS One,PMC,2006-12-20,2006.0,255
The Waiting Time for Inter-Country Spread of Pandemic Influenza,PLoS One,PMC,2007-01-03,2007.0,304
Neutralizing Antibody Fails to Impact the Course of Ebola Virus Infection in Monkeys,PLoS Pathog,PMC,2007-01-19,2007.0,177
Public health preparedness in Alberta: a systems-level study,BMC Public Health,PMC,2006-12-28,2006.0,252
The immunoregulatory and allergy-associated cytokines in the aetiology of the otitis media with effusion.,Mediators Inflamm,PMC,2004-04-03,2004.0,136
"Bench-to-bedside review: Critical illness-associated cognitive dysfunction – mechanisms, markers, and emerging therapeutics",Crit Care,PMC,2006-11-15,2006.0,130
ProCAT: a data analysis approach for protein microarrays,Genome Biol,PMC,2006-11-16,2006.0,75
Positional clustering improves computational binding site detection and identifies novel cis-regulatory sites in mammalian GABA(A) receptor subunit genes,Nucleic Acids Res,PMC,2007-01-03,2007.0,204
The Transmissibility of Highly Pathogenic Avian Influenza in Commercial Poultry in Industrialised Countries,PLoS One,PMC,2007-04-04,2007.0,213
The influenza pandemic preparedness planning tool InfluSim,BMC Infect Dis,PMC,2007-03-13,2007.0,217
Immune pathways and defence mechanisms in honey bees Apis mellifera,Insect Mol Biol,PMC,2006-10-01,2006.0,119
"ElaD, a Deubiquitinating Protease Expressed by E. coli",PLoS One,PMC,2007-04-18,2007.0,206
Mutational analysis of human CEACAM1: the potential of receptor polymorphism in increasing host susceptibility to bacterial infection,Cell Microbiol,PMC,2007-02-01,2007.0,278
Immune reconstitution inflammatory syndrome (IRIS): review of common infectious manifestations and treatment options,AIDS Res Ther,PMC,2007-05-08,2007.0,192
Global Surveillance of Emerging Influenza Virus Genotypes by Mass Spectrometry,PLoS One,PMC,2007-05-30,2007.0,247
Transmission Parameters of the 2001 Foot and Mouth Epidemic in Great Britain,PLoS One,PMC,2007-06-06,2007.0,140
Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,Virol J,PMC,2007-06-04,2007.0,180
Designing and conducting tabletop exercises to assess public health preparedness for manmade and naturally occurring biological threats,BMC Public Health,PMC,2007-05-29,2007.0,307
Transcript-level annotation of Affymetrix probesets improves the interpretation of gene expression data,BMC Bioinformatics,PMC,2007-06-11,2007.0,190
Selective redox regulation of cytokine receptor signaling by extracellular thioredoxin-1,EMBO J,PMC,2007-07-11,2007.0,158
Screen for ISG15-crossreactive Deubiquitinases,PLoS One,PMC,2007-07-25,2007.0,226
s-RT-MELT for rapid mutation scanning using enzymatic selection and real time DNA-melting: new potential for multiplex genetic analysis,Nucleic Acids Res,PMC,2007-06-01,2007.0,182
Rapid Identification of Malaria Vaccine Candidates Based on α-Helical Coiled Coil Protein Motif,PLoS One,PMC,2007-07-25,2007.0,163
FluGenome: a web tool for genotyping influenza A virus,Nucleic Acids Res,PMC,2007-05-30,2007.0,149
Influenza pandemic intervention planning using InfluSim: pharmaceutical and non- pharmaceutical interventions,BMC Infect Dis,PMC,2007-07-13,2007.0,253
DNA Vaccines against Protozoan Parasites: Advances and Challenges,J Biomed Biotechnol,PMC,2007-06-24,2007.0,122
Estimating Individual and Household Reproduction Numbers in an Emerging Epidemic,PLoS One,PMC,2007-08-22,2007.0,220
Natural Killer Cells Promote Early CD8 T Cell Responses against Cytomegalovirus,PLoS Pathog,PMC,2007-08-24,2007.0,302
"The Trojan Chicken Study, Minnesota",Emerg Infect Dis,PMC,2006-05-03,2006.0,125
The Restriction of Zoonotic PERV Transmission by Human APOBEC3G,PLoS One,PMC,2007-09-12,2007.0,190
Experimental infection of H5N1 HPAI in BALB/c mice,Virol J,PMC,2007-07-27,2007.0,178
Prediction of RNA Pseudoknots Using Heuristic Modeling with Mapping and Sequential Folding,PLoS One,PMC,2007-09-19,2007.0,163
Cell-penetrating peptides as transporters for morpholino oligomers: effects of amino acid composition on intracellular delivery and cytotoxicity,Nucleic Acids Res,PMC,2007-08-01,2007.0,198
"Lost in the World of Functional Genomics, Systems Biology, and Translational Research: Is There Life after the Milstein Award?",Cytokine & Growth Factor Reviews,PMC,2007-10-01,2007.0,139
Electrospray ionisation-cleavable tandem nucleic acid mass tag–peptide nucleic acid conjugates: synthesis and applications to quantitative genomic analysis using electrospray ionisation-MS/MS,Nucleic Acids Res,PMC,2007-01-26,2007.0,159
Hairpin structure within the 3′UTR of DNA polymerase β mRNA acts as a post-transcriptional regulatory element and interacts with Hax-1,Nucleic Acids Res,PMC,2007-08-17,2007.0,181
"Global public goods and the global health agenda: problems, priorities and potential",Global Health,PMC,2007-09-22,2007.0,260
Outcome of paediatric intensive care survivors,Eur J Pediatr,PMC,2007-09-07,2007.0,223
An evaluation of Comparative Genome Sequencing (CGS) by comparing two previously-sequenced bacterial genomes,BMC Genomics,PMC,2007-08-14,2007.0,245
Antibody-Based HIV-1 Vaccines: Recent Developments and Future Directions: A summary report from a Global HIV Vaccine Enterprise Working Group,PLoS Med,PMC,2007-12-01,2007.0,22
Host Gene Expression Profiling of Dengue Virus Infection in Cell Lines and Patients,PLoS Negl Trop Dis,PMC,2007-11-21,2007.0,301
Species-specific evolution of immune receptor tyrosine based activation motif-containing CEACAM1-related immune receptors in the dog,BMC Evol Biol,PMC,2007-10-18,2007.0,314
Nucleolus: the fascinating nuclear body,Histochem Cell Biol,PMC,2007-11-29,2007.0,200
Antidiabetes and Anti-obesity Activity of Lagerstroemia speciosa,Evid Based Complement Alternat Med,PMC,2007-03-14,2007.0,286
Transmissibility of the Influenza Virus in the 1918 Pandemic,PLoS One,PMC,2008-01-30,2008.0,216
Surfactant therapy for acute respiratory failure in children: a systematic review and meta-analysis,Crit Care,PMC,2007-06-15,2007.0,228
Clinical review: Update of avian influenza A infections in humans,Crit Care,PMC,2007-03-22,2007.0,113
Clinical review: Mass casualty triage – pandemic influenza and critical care,Crit Care,PMC,2007-04-30,2007.0,145
Avian influenza outbreak in Turkey through health personnel's views: a qualitative study,BMC Public Health,PMC,2007-11-15,2007.0,405
"Influenza activity in Europe during eight seasons (1999–2007): an evaluation of the indicators used to measure activity and an assessment of the timing, length and course of peak activity (spread) across Europe",BMC Infect Dis,PMC,2007-11-30,2007.0,361
Diagnosis and treatment of severe sepsis,Crit Care,PMC,2007-12-19,2007.0,104
Simian virus 40 vectors for pulmonary gene therapy,Respir Res,PMC,2007-10-29,2007.0,264
Role of receptor polymorphism and glycosylation in syncytium induction and host range variation of ecotropic mouse gammaretroviruses,Retrovirology,PMC,2008-01-10,2008.0,253
The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,Nucleic Acids Res,PMC,2007-11-05,2007.0,201
Establishing a nationwide emergency department-based syndromic surveillance system for better public health responses in Taiwan,BMC Public Health,PMC,2008-01-18,2008.0,322
Amino Acid Similarity Accounts for T Cell Cross-Reactivity and for “Holes” in the T Cell Repertoire,PLoS One,PMC,2008-03-19,2008.0,224
"Distinguishing Molecular Features and Clinical Characteristics of a Putative New Rhinovirus Species, Human Rhinovirus C (HRV C)",PLoS One,PMC,2008-04-02,2008.0,298
Epithelial Cell Apoptosis and Neutrophil Recruitment in Acute Lung Injury—A Unifying Hypothesis? What We Have Learned from Small Interfering RNAs,Molecular Medicine,PMC,2008-03-18,2008.0,172
"The cucumovirus 2b gene drives selection of inter-viral recombinants affecting the crossover site, the acceptor RNA and the rate of selection",Nucleic Acids Res,PMC,2007-12-17,2007.0,170
Epigrass: a tool to study disease spread in complex networks,Source Code Biol Med,PMC,2008-02-26,2008.0,199
Autoimmune Cholangitis in the SJL/J Mouse is Antigen Non-specific,Dev Immunol,PMC,2002-06-03,2002.0,192
"La Crosse virus infectivity, pathogenesis, and immunogenicity in mice and monkeys",Virol J,PMC,2008-02-11,2008.0,273
The intrinsically disordered C‐terminal domain of the measles virus nucleoprotein interacts with the C‐terminal domain of the phosphoprotein via two distinct sites and remains predominantly unfolded,Protein Sci,PMC,2009-01-01,2009.0,226
"A survey of knowledge, attitudes and practices towards avian influenza in an adult population of Italy",BMC Infect Dis,PMC,2008-03-17,2008.0,297
The evolution of human influenza A viruses from 1999 to 2006: A complete genome study,Virol J,PMC,2008-03-07,2008.0,400
"Can ""presumed consent"" justify the duty to treat infectious diseases? An analysis",BMC Infect Dis,PMC,2008-03-06,2008.0,449
Improved production of human type II procollagen in the yeast Pichia pastoris in shake flasks by a wireless-controlled fed-batch system,BMC Biotechnol,PMC,2008-03-27,2008.0,340
HMGB1: Endogenous Danger Signaling,Mol Med,PMC,2008-04-11,2008.0,209
Quantitative measurement of thyroglobulin mRNA in peripheral blood of patients after total thyroidectomy,Br J Cancer,PMC,2001-07-03,2001.0,148
Functional Analysis of the 5′ Genomic Sequence of a Bovine Norovirus,PLoS One,PMC,2008-05-14,2008.0,298
Preliminary Findings of a Randomized Trial of Non-Pharmaceutical Interventions to Prevent Influenza Transmission in Households,PLoS One,PMC,2008-05-07,2008.0,295
Real Time Bayesian Estimation of the Epidemic Potential of Emerging Infectious Diseases,PLoS One,PMC,2008-05-14,2008.0,268
"DetectiV: visualization, normalization and significance testing for pathogen-detection microarray data",Genome Biol,PMC,2007-09-14,2007.0,71
Expression of Foot-and-Mouth Disease Virus Capsid Proteins in Silkworm-Baculovirus Expression System and Its Utilization as a Subunit Vaccine,PLoS One,PMC,2008-05-28,2008.0,214
The effect of network mixing patterns on epidemic dynamics and the efficacy of disease contact tracing,J R Soc Interface,PMC,2007-12-04,2007.0,207
General Practice and Pandemic Influenza: A Framework for Planning and Comparison of Plans in Five Countries,PLoS One,PMC,2008-05-28,2008.0,253
Apoptotic signals induce specific degradation of ribosomal RNA in yeast,Nucleic Acids Res,PMC,2008-04-01,2008.0,195
Virus Adaptation by Manipulation of Host's Gene Expression,PLoS One,PMC,2008-06-11,2008.0,222
Deletion of human metapneumovirus M2-2 increases mutation frequency and attenuates growth in hamsters,Virol J,PMC,2008-06-03,2008.0,229
No Longer an Innocent Bystander: Epithelial Toll-Like Receptor Signaling in the Development of Mucosal Inflammation,Mol Med,PMC,2008-06-17,2008.0,291
Ubiquitination Is Required for Effective Replication of Coxsackievirus B3,PLoS One,PMC,2008-07-09,2008.0,253
Professional and Home-Made Face Masks Reduce Exposure to Respiratory Infections among the General Population,PLoS One,PMC,2008-07-09,2008.0,191
Oct-4 Expression Maintained Cancer Stem-Like Properties in Lung Cancer-Derived CD133-Positive Cells,PLoS One,PMC,2008-07-09,2008.0,224
Early transcriptional response in the jejunum of germ-free piglets after oral infection with virulent rotavirus,Arch Virol,PMC,2008-06-04,2008.0,240
"Gatekeepers of health: A qualitative assessment of child care centre staff's perspectives, practices and challenges to enteric illness prevention and management in child care centres",BMC Public Health,PMC,2008-06-13,2008.0,248
Dating the time of viral subtype divergence,BMC Evol Biol,PMC,2008-06-09,2008.0,195
Discovery and Development of Toll-Like Receptor 4 (TLR4) Antagonists: A New Paradigm for Treating Sepsis and Other Diseases,Pharm Res,PMC,2008-05-21,2008.0,214
Multiplex cytokine profile from dengue patients: MIP-1beta and IFN-gamma as predictive factors for severity,BMC Infect Dis,PMC,2008-06-25,2008.0,220
Temporal trends in the discovery of human viruses,Proc Biol Sci,PMC,2008-05-27,2008.0,133
Investigating selection on viruses: a statistical alignment approach,BMC Bioinformatics,PMC,2008-07-10,2008.0,289
Seasonality of Influenza A(H3N2) Virus: A Hong Kong Perspective (1997–2006),PLoS One,PMC,2008-07-23,2008.0,298
H5N1 and 1918 Pandemic Influenza Virus Infection Results in Early and Excessive Infiltration of Macrophages and Neutrophils in the Lungs of Mice,PLoS Pathog,PMC,2008-08-01,2008.0,218
Patterns of Positive Selection in Six Mammalian Genomes,PLoS Genet,PMC,2008-08-01,2008.0,294
Mathematical Analysis of Copy Number Variation in a DNA Sample Using Digital PCR on a Nanofluidic Device,PLoS One,PMC,2008-08-06,2008.0,81
The geosimulation of West Nile virus propagation: a multi-agent and climate sensitive tool for risk management in public health,Int J Health Geogr,PMC,2008-07-07,2008.0,333
Alternative medicines for AIDS in resource-poor settings: Insights from exploratory anthropological studies in Asia and Africa,J Ethnobiol Ethnomed,PMC,2008-07-10,2008.0,255
Evolutionary and Transmission Dynamics of Reassortant H5N1 Influenza Virus in Indonesia,PLoS Pathog,PMC,2008-08-22,2008.0,221
Endothelial Cells Support Persistent Gammaherpesvirus 68 Infection,PLoS Pathog,PMC,2008-09-12,2008.0,297
Analysis of synonymous codon usage and evolution of begomoviruses,Journal of Zhejiang University SCIENCE B,PMC,2008-08-29,2008.0,129
Animal models of acute lung injury,Am J Physiol Lung Cell Mol Physiol,PMC,2008-09-03,2008.0,196
Intrapulmonary administration of recombinant activated factor VII in diffuse alveolar haemorrhage: a report of two case stories,Cases J,PMC,2008-09-12,2008.0,212
Activation of the Unfolded Protein Response Is Required for Defenses against Bacterial Pore-Forming Toxin In Vivo,PLoS Pathog,PMC,2008-10-10,2008.0,232
Composition and Function of Haemolymphatic Tissues in the European Common Shrew,PLoS One,PMC,2008-10-15,2008.0,297
Prevention of Cytotoxic T Cell Escape Using a Heteroclitic Subdominant Viral T Cell Determinant,PLoS Pathog,PMC,2008-10-24,2008.0,208
HIV-Specific T-Cells Accumulate in the Liver in HCV/HIV Co-Infection,PLoS One,PMC,2008-10-20,2008.0,199
Multiorgan failure due to hemophagocytic syndrome: A case report,Cases J,PMC,2008-10-03,2008.0,141
Studying copy number variations using a nanofluidic platform,Nucleic Acids Res,PMC,2008-08-18,2008.0,204
"An analysis of hospital preparedness capacity for public health emergency in four regions of China: Beijing, Shandong, Guangxi, and Hainan",BMC Public Health,PMC,2008-09-20,2008.0,340
Molecular evidence for the evolution of ichnoviruses from ascoviruses by symbiogenesis,BMC Evol Biol,PMC,2008-09-18,2008.0,246
Nasal Delivery of an Adenovirus-Based Vaccine Bypasses Pre-Existing Immunity to the Vaccine Carrier and Improves the Immune Response in Mice,PLoS One,PMC,2008-10-29,2008.0,255
Screening Pneumonia Patients for Mimivirus,Emerg Infect Dis,PMC,2008-03-03,2008.0,50
Resource Allocation during an Influenza Pandemic,Emerg Infect Dis,PMC,2008-03-03,2008.0,6
"WU Polyomavirus Infection in Children, Germany",Emerg Infect Dis,PMC,2008-04-03,2008.0,0
Factors influencing psychological distress during a disease epidemic: Data from Australia's first outbreak of equine influenza,BMC Public Health,PMC,2008-10-03,2008.0,362
Influenza A Virus Inhibits Type I IFN Signaling via NF-κB-Dependent Induction of SOCS-3 Expression,PLoS Pathog,PMC,2008-11-07,2008.0,301
Biodefense versus bioterrorism,Genome Biol,PMC,2008-09-01,2008.0,41
Key Role of Splenic Myeloid DCs in the IFN-αβ Response to Adenoviruses In Vivo,PLoS Pathog,PMC,2008-11-14,2008.0,286
Hemorrhagic shock and encephalopathy syndrome – the markers for an early HSES diagnosis,BMC Pediatr,PMC,2008-10-16,2008.0,249
Unifying evolutionary and thermodynamic information for RNA folding of multiple alignments,Nucleic Acids Res,PMC,2008-10-04,2008.0,192
A sensitive array-based assay for identifying multiple TMPRSS2:ERG fusion gene variants,Nucleic Acids Res,PMC,2008-09-15,2008.0,178
Delivery of steric block morpholino oligomers by (R-X-R)(4) peptides: structure–activity studies,Nucleic Acids Res,PMC,2008-09-16,2008.0,226
Immune Mechanisms Responsible for Vaccination against and Clearance of Mucosal and Lymphatic Norovirus Infection,PLoS Pathog,PMC,2008-12-12,2008.0,196
Self-Interest versus Group-Interest in Antiviral Control,PLoS One,PMC,2008-02-13,2008.0,264
Cross-subtype Immunity against Avian Influenza in Persons Recently Vaccinated for Influenza,Emerg Infect Dis,PMC,2008-01-03,2008.0,154
Human Bocavirus Infections in Hospitalized Children and Adults,Emerg Infect Dis,PMC,2008-02-03,2008.0,131
Pandemic Influenza Planning in the United States from a Health Disparities Perspective,Emerg Infect Dis,PMC,2008-05-03,2008.0,121
Conflict and Emerging Infectious Diseases,Emerg Infect Dis,PMC,2008-06-03,2008.0,0
Global Distribution of Novel Rhinovirus Genotype,Emerg Infect Dis,PMC,2008-06-03,2008.0,39
Cost effective strategies for completing the Interactome,Nat Methods,PMC,2008-12-14,2008.0,152
Augmented Lung Inflammation Protects against Influenza A Pneumonia,PLoS One,PMC,2009-01-12,2009.0,254
A Novel Peptide Enhances Therapeutic Efficacy of Liposomal Anti-Cancer Drugs in Mice Models of Human Lung Cancer,PLoS One,PMC,2009-01-12,2009.0,256
"IL-1β, IL-6, and RANTES as Biomarkers of Chikungunya Severity",PLoS One,PMC,2009-01-21,2009.0,215
Avian Influenza: Should China Be Alarmed?,Yonsei Med J,PMC,2007-08-31,2007.0,132
Rift Valley Fever Virus NSs Protein Promotes Post-Transcriptional Downregulation of Protein Kinase PKR and Inhibits eIF2α Phosphorylation,PLoS Pathog,PMC,2009-02-06,2009.0,248
"Influenza Virus (H5N1) in Live Bird Markets and Food Markets, Thailand",Emerg Infect Dis,PMC,2008-11-03,2008.0,48
Antimicrobial and antioxidant activities of Cortex Magnoliae Officinalis and some other medicinal plants commonly used in South-East Asia,Chin Med,PMC,2008-11-28,2008.0,141
Results From a Hypothesis Generating Case-Control Study: Herpes Family Viruses and Schizophrenia Among Military Personnel,Schizophrenia Bulletin,PMC,2008-08-20,2008.0,273
SARS-CoV: Lessons for global health,Virus Research,PMC,2008-04-01,2008.0,0
Science into policy: preparing for pandemic influenza,J Public Health (Oxf),PMC,2008-07-04,2008.0,32
Smallpox and Season: Reanalysis of Historical Data,Interdiscip Perspect Infect Dis,PMC,2009-01-04,2009.0,146
Chinese journals: a guide for epidemiologists,Emerg Themes Epidemiol,PMC,2008-09-30,2008.0,113
The Complete Genome and Proteome of Laribacter hongkongensis Reveal Potential Mechanisms for Adaptations to Different Temperatures and Habitats,PLoS Genet,PMC,2009-03-13,2009.0,276
Malignant mesothelioma,Orphanet J Rare Dis,PMC,2008-12-19,2008.0,283
Antiviral resistance during pandemic influenza: implications for stockpiling and drug use,BMC Infect Dis,PMC,2009-01-22,2009.0,295
Transmission Dynamics and Prospects for the Elimination of Canine Rabies,PLoS Biol,PMC,2009-03-10,2009.0,196
Detection of genetically modified organisms (GMOs) using isothermal amplification of target DNA sequences,BMC Biotechnol,PMC,2009-02-02,2009.0,148
